SampleName	BatchID	SampleID	Concentration	splitData	BackGround	Baffle	has_hash	exclude	exclude_reason
batch-2025-04-16_11	batch-2025-04-16	11	6.43	train_set	bgl1100	no	0	0	
batch-2025-04-16_12	batch-2025-04-16	12	440.38	train_set	bgl1100	no	0	0	
batch-2025-04-16_13	batch-2025-04-16	13	729.54	train_set	bgl1100	no	0	0	
batch-2025-04-16_14	batch-2025-04-16	14	875.58	train_set	bgl1100	no	0	0	
batch-2025-04-16_15	batch-2025-04-16	15	985.83	train_set	bgl1100	no	0	0	
batch-2025-04-16_16	batch-2025-04-16	16	1038.41	train_set	bgl1100	no	0	0	
batch-2025-04-25_1	batch-2025-04-25	1	139.01	train_set	bgl1100	no	0	0	
batch-2025-04-25_2	batch-2025-04-25	2	5.59	train_set	bgl1100	no	0	0	
batch-2025-04-25_3	batch-2025-04-25	3	198.18	train_set	bgl1100	no	0	0	
batch-2025-04-25_4	batch-2025-04-25	4	9.8	train_set	bgl1100	no	0	0	
batch-2025-04-25_5	batch-2025-04-25	5	105.88	train_set	bgl1100	no	0	0	
batch-2025-04-25_6	batch-2025-04-25	6	194.7	train_set	bgl1100	no	0	0	
batch-2025-04-25_7	batch-2025-04-25	7	837.53	train_set	bgl1100	no	0	0	
batch-2025-04-25_10	batch-2025-04-25	10	9.84	train_set	bgl1100	no	0	0	
batch-2025-04-25_11	batch-2025-04-25	11	194.45	train_set	bgl1100	no	0	0	
batch-2025-04-25_12	batch-2025-04-25	12	773.35	train_set	bgl1100	no	0	0	
batch-2025-04-25_13	batch-2025-04-25	13	1008.07	train_set	bgl1100	no	0	0	
batch-2025-04-25_14	batch-2025-04-25	14	180.94	train_set	bgl1100	no	0	0	
batch-2025-04-25_15	batch-2025-04-25	15	764.79	train_set	bgl1100	no	0	0	
batch-2025-04-25_16	batch-2025-04-25	16	1055.75	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_1	batch-2025-06-04_1	1	378.02	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_2	batch-2025-06-04_1	2	376.29	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_3	batch-2025-06-04_1	3	414.27	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_4	batch-2025-06-04_1	4	411.39	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_5	batch-2025-06-04_1	5	417.15	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_6	batch-2025-06-04_1	6	397.58	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_7	batch-2025-06-04_1	7	399.88	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_8	batch-2025-06-04_1	8	476.41	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_9	batch-2025-06-04_1	9	499.42	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_10	batch-2025-06-04_1	10	34.64	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_11	batch-2025-06-04_1	11	527.62	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_12	batch-2025-06-04_1	12	491.94	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_13	batch-2025-06-04_1	13	613.35	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_14	batch-2025-06-04_1	14	609.32	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_15	batch-2025-06-04_1	15	46.8	train_set	bgl1100	no	1	0	
batch-2025-06-04_1_16	batch-2025-06-04_1	16	47.1	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_17	batch-2025-06-04_1	17	4.86	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_18	batch-2025-06-04_1	18	430.38	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_19	batch-2025-06-04_1	19	5.59	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_20	batch-2025-06-04_1	20	9.84	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_21	batch-2025-06-04_1	21	175.9	train_set	bgl1100	no	1	0	
batch-2025-06-04_1_22	batch-2025-06-04_1	22	188.34	train_set	bgl1100	no	1	0	
batch-2025-06-04_1_23	batch-2025-06-04_1	23	193.41	train_set	bgl1100	no	0	0	
batch-2025-06-04_1_24	batch-2025-06-04_1	24	154.7	train_set	bgl1100	no	1	0	
batch-2025-06-04_2_1	batch-2025-06-04_2	1	326.95	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_2	batch-2025-06-04_2	2	340.58	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_3	batch-2025-06-04_2	3	351.73	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_4	batch-2025-06-04_2	4	324.47	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_5	batch-2025-06-04_2	5	350.5	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_6	batch-2025-06-04_2	6	309.6	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_7	batch-2025-06-04_2	7	414.93	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_8	batch-2025-06-04_2	8	455.82	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_9	batch-2025-06-04_2	9	501.67	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_10	batch-2025-06-04_2	10	137.45	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_11	batch-2025-06-04_2	11	699.32	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_12	batch-2025-06-04_2	12	494.24	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_13	batch-2025-06-04_2	13	611.96	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_14	batch-2025-06-04_2	14	634.26	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_15	batch-2025-06-04_2	15	221.62	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_16	batch-2025-06-04_2	16	235.87	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_17	batch-2025-06-04_2	17	193.74	train_set	bgl1100	no	0	0	
batch-2025-06-04_2_18	batch-2025-06-04_2	18	361.65	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_1	batch-2025-06-11_1	1	345.47	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_2	batch-2025-06-11_1	2	368.27	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_3	batch-2025-06-11_1	3	361.67	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_4	batch-2025-06-11_1	4	364.67	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_5	batch-2025-06-11_1	5	347.27	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_6	batch-2025-06-11_1	6	350.27	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_7	batch-2025-06-11_1	7	389.86	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_8	batch-2025-06-11_1	8	371.27	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_9	batch-2025-06-11_1	9	309.48	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_10	batch-2025-06-11_1	10	395.86	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_11	batch-2025-06-11_1	11	386.26	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_12	batch-2025-06-11_1	12	296.88	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_13	batch-2025-06-11_1	13	349.67	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_14	batch-2025-06-11_1	14	341.27	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_15	batch-2025-06-11_1	15	356.87	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_16	batch-2025-06-11_1	16	359.27	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_17	batch-2025-06-11_1	17	367.07	train_set	bgl1100	no	0	0	
batch-2025-06-11_1_18	batch-2025-06-11_1	18	359.27	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_1	batch-2025-06-11_2	1	441.64	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_2	batch-2025-06-11_2	2	493.91	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_3	batch-2025-06-11_2	3	466.85	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_4	batch-2025-06-11_2	4	478.54	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_5	batch-2025-06-11_2	5	453.94	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_6	batch-2025-06-11_2	6	444.71	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_7	batch-2025-06-11_2	7	456.4	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_8	batch-2025-06-11_2	8	500.68	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_9	batch-2025-06-11_2	9	415.19	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_10	batch-2025-06-11_2	10	481.61	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_11	batch-2025-06-11_2	11	524.66	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_12	batch-2025-06-11_2	12	465.01	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_13	batch-2025-06-11_2	13	428.11	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_14	batch-2025-06-11_2	14	452.09	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_15	batch-2025-06-11_2	15	471.16	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_16	batch-2025-06-11_2	16	441.64	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_17	batch-2025-06-11_2	17	479.15	train_set	bgl1100	no	0	0	
batch-2025-06-11_2_18	batch-2025-06-11_2	18	497.6	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_1	batch-2025-07-30_1	1	30.84	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_2	batch-2025-07-30_1	2	30.25	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_3	batch-2025-07-30_1	3	32.48	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_4	batch-2025-07-30_1	4	29.75	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_5	batch-2025-07-30_1	5	31.93	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_6	batch-2025-07-30_1	6	259.77	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_7	batch-2025-07-30_1	7	239.03	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_8	batch-2025-07-30_1	8	270.83	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_9	batch-2025-07-30_1	9	221.52	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_10	batch-2025-07-30_1	10	265.3	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_11	batch-2025-07-30_1	11	300.78	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_12	batch-2025-07-30_1	12	326.59	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_13	batch-2025-07-30_1	13	175.9	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_14	batch-2025-07-30_1	14	188.34	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_15	batch-2025-07-30_1	15	193.41	train_set	bgl1100	no	1	0	
batch-2025-07-30_1_16	batch-2025-07-30_1	16	214.61	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_17	batch-2025-07-30_1	17	221.98	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_18	batch-2025-07-30_1	18	154.7	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_19	batch-2025-07-30_1	19	259.31	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_20	batch-2025-07-30_1	20	157.0	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_21	batch-2025-07-30_1	21	218.76	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_22	batch-2025-07-30_1	22	214.61	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_23	batch-2025-07-30_1	23	233.96	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_24	batch-2025-07-30_1	24	224.75	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_25	batch-2025-07-30_1	25	6.95	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_26	batch-2025-07-30_1	26	7.28	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_27	batch-2025-07-30_1	27	7.82	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_28	batch-2025-07-30_1	28	115.99	train_set	bgl1100	no	0	0	
batch-2025-07-30_1_29	batch-2025-07-30_1	29	108.62	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_1	batch-2025-07-30_2	1	61.47	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_2	batch-2025-07-30_2	2	57.88	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_3	batch-2025-07-30_2	3	58.2	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_4	batch-2025-07-30_2	4	68.22	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_5	batch-2025-07-30_2	5	76.07	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_6	batch-2025-07-30_2	6	283.93	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_7	batch-2025-07-30_2	7	263.78	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_8	batch-2025-07-30_2	8	276.31	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_9	batch-2025-07-30_2	9	182.63	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_10	batch-2025-07-30_2	10	229.47	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_11	batch-2025-07-30_2	11	276.85	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_12	batch-2025-07-30_2	12	247.44	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_13	batch-2025-07-30_2	13	286.66	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_14	batch-2025-07-30_2	14	271.41	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_15	batch-2025-07-30_2	15	321.51	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_16	batch-2025-07-30_2	16	376.53	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_17	batch-2025-07-30_2	17	342.21	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_18	batch-2025-07-30_2	18	348.2	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_19	batch-2025-07-30_2	19	349.84	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_20	batch-2025-07-30_2	20	258.88	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_21	batch-2025-07-30_2	21	311.71	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_22	batch-2025-07-30_2	22	321.51	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_23	batch-2025-07-30_2	23	301.36	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_24	batch-2025-07-30_2	24	316.07	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_25	batch-2025-07-30_2	25	73.13	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_26	batch-2025-07-30_2	26	76.5	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_27	batch-2025-07-30_2	27	76.83	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_28	batch-2025-07-30_2	28	224.02	train_set	bgl1100	no	0	0	
batch-2025-07-30_2_29	batch-2025-07-30_2	29	281.21	train_set	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1050_1	batch-2025-12-03_1_bgl1050	1	11.8	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_2	batch-2025-12-03_1_bgl1050	2	12.18	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_3	batch-2025-12-03_1_bgl1050	3	12.03	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_4	batch-2025-12-03_1_bgl1050	4	15.25	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_5	batch-2025-12-03_1_bgl1050	5	14.19	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_6	batch-2025-12-03_1_bgl1050	6	12.86	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_7	batch-2025-12-03_1_bgl1050	7	15.33	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_8	batch-2025-12-03_1_bgl1050	8	14.85	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_9	batch-2025-12-03_1_bgl1050	9	14.86	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_10	batch-2025-12-03_1_bgl1050	10	13.03	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_11	batch-2025-12-03_1_bgl1050	11	15.41	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_12	batch-2025-12-03_1_bgl1050	12	13.6	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_15	batch-2025-12-03_1_bgl1050	15	21.24	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_19	batch-2025-12-03_1_bgl1050	19	61.4	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_20	batch-2025-12-03_1_bgl1050	20	69.33	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_21	batch-2025-12-03_1_bgl1050	21	68.6	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_22	batch-2025-12-03_1_bgl1050	22	67.4	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1050_23	batch-2025-12-03_1_bgl1050	23	73.71	test_set3	bgl1050	no	0	0	
batch-2025-12-03_1_bgl1100_1	batch-2025-12-03_1_bgl1100	1	11.8	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_2	batch-2025-12-03_1_bgl1100	2	12.18	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_3	batch-2025-12-03_1_bgl1100	3	12.03	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_4	batch-2025-12-03_1_bgl1100	4	15.25	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_5	batch-2025-12-03_1_bgl1100	5	14.19	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_6	batch-2025-12-03_1_bgl1100	6	12.86	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_7	batch-2025-12-03_1_bgl1100	7	15.33	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_8	batch-2025-12-03_1_bgl1100	8	14.85	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_9	batch-2025-12-03_1_bgl1100	9	14.86	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_10	batch-2025-12-03_1_bgl1100	10	13.03	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_11	batch-2025-12-03_1_bgl1100	11	15.41	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_12	batch-2025-12-03_1_bgl1100	12	13.6	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_15	batch-2025-12-03_1_bgl1100	15	21.24	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_19	batch-2025-12-03_1_bgl1100	19	61.4	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_20	batch-2025-12-03_1_bgl1100	20	69.33	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_21	batch-2025-12-03_1_bgl1100	21	68.6	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_22	batch-2025-12-03_1_bgl1100	22	67.4	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_23	batch-2025-12-03_1_bgl1100	23	73.71	test_set1	bgl1100	no	0	0	
batch-2025-12-03_1_bgl1100_Baffle_1	batch-2025-12-03_1_bgl1100_Baffle	1	11.8	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_2	batch-2025-12-03_1_bgl1100_Baffle	2	12.18	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_3	batch-2025-12-03_1_bgl1100_Baffle	3	12.03	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_4	batch-2025-12-03_1_bgl1100_Baffle	4	15.25	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_5	batch-2025-12-03_1_bgl1100_Baffle	5	14.19	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_6	batch-2025-12-03_1_bgl1100_Baffle	6	12.86	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_7	batch-2025-12-03_1_bgl1100_Baffle	7	15.33	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_8	batch-2025-12-03_1_bgl1100_Baffle	8	14.85	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_9	batch-2025-12-03_1_bgl1100_Baffle	9	14.86	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_10	batch-2025-12-03_1_bgl1100_Baffle	10	13.03	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_11	batch-2025-12-03_1_bgl1100_Baffle	11	15.41	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_12	batch-2025-12-03_1_bgl1100_Baffle	12	13.6	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_15	batch-2025-12-03_1_bgl1100_Baffle	15	21.24	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_19	batch-2025-12-03_1_bgl1100_Baffle	19	61.4	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_20	batch-2025-12-03_1_bgl1100_Baffle	20	69.33	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_21	batch-2025-12-03_1_bgl1100_Baffle	21	68.6	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_22	batch-2025-12-03_1_bgl1100_Baffle	22	67.4	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1100_Baffle_23	batch-2025-12-03_1_bgl1100_Baffle	23	73.71	test_set2	bgl1100	yes	0	0	
batch-2025-12-03_1_bgl1120_1	batch-2025-12-03_1_bgl1120	1	11.8	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_2	batch-2025-12-03_1_bgl1120	2	12.18	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_3	batch-2025-12-03_1_bgl1120	3	12.03	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_4	batch-2025-12-03_1_bgl1120	4	15.25	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_5	batch-2025-12-03_1_bgl1120	5	14.19	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_6	batch-2025-12-03_1_bgl1120	6	12.86	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_7	batch-2025-12-03_1_bgl1120	7	15.33	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_8	batch-2025-12-03_1_bgl1120	8	14.85	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_9	batch-2025-12-03_1_bgl1120	9	14.86	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_10	batch-2025-12-03_1_bgl1120	10	13.03	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_11	batch-2025-12-03_1_bgl1120	11	15.41	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_12	batch-2025-12-03_1_bgl1120	12	13.6	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_15	batch-2025-12-03_1_bgl1120	15	21.24	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_19	batch-2025-12-03_1_bgl1120	19	61.4	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_20	batch-2025-12-03_1_bgl1120	20	69.33	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_21	batch-2025-12-03_1_bgl1120	21	68.6	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_22	batch-2025-12-03_1_bgl1120	22	67.4	test_set4	bgl1120	no	0	0	
batch-2025-12-03_1_bgl1120_23	batch-2025-12-03_1_bgl1120	23	73.71	test_set4	bgl1120	no	0	0	
batch-2025-12-03_2_bgl1050_1	batch-2025-12-03_2_bgl1050	1	69.86	train_set	bgl1050	no	0	0	
batch-2025-12-03_2_bgl1050_2	batch-2025-12-03_2_bgl1050	2	70.78	train_set	bgl1050	no	0	0	
batch-2025-12-03_2_bgl1050_3	batch-2025-12-03_2_bgl1050	3	71.35	train_set	bgl1050	no	0	0	
batch-2025-12-03_2_bgl1050_4	batch-2025-12-03_2_bgl1050	4	90.95	train_set	bgl1050	no	0	0	
batch-2025-12-03_2_bgl1050_5	batch-2025-12-03_2_bgl1050	5	75.13	train_set	bgl1050	no	0	0	
batch-2025-12-03_2_bgl1050_6	batch-2025-12-03_2_bgl1050	6	72.63	train_set	bgl1050	no	0	0	
batch-2025-12-03_2_bgl1050_7	batch-2025-12-03_2_bgl1050	7	78.36	train_set	bgl1050	no	0	0	
batch-2025-12-03_2_bgl1050_8	batch-2025-12-03_2_bgl1050	8	72.57	train_set	bgl1050	no	0	0	
